GPU Prolog Script v0.30
This is a GPU node.
Enough GPUs available.
Allocating card 6
['--model', 'complex', '--data', 'pathme', '--loss', 'pair_hinge', '--epochs', '500', '--learning-rate', '0.012', '--nb-negs', '6', '--batch-size', '1024', '--reg-weight', '8.181e-08', '--loss-margin', '4', '--embedding-size', '200', '--quiet', '--save_model_name', 'cplexPH_batch1024_es_200_reg_n3_rw_8181_lr_012_m_4_nbn_6_pathme', '--testrel', 'cplexPH_PATHME_relation.csv', '--rare']
MCL False
INFO:pathme_cp_PH.py:Valid: False
INFO:pathme_cp_PH.py:Device: cuda
INFO:pathme_cp_PH.py:NOT MC
INFO:pathme_cp_PH.py:Device: cuda
INFO:pathme_cp_PH.py:valid: False
INFO:pathme_cp_PH.py:Epoch 115/500	Loss 162.1103 ± 35.4030
INFO:pathme_cp_PH.py:Epoch 116/500	Loss 160.1010 ± 31.5943
INFO:pathme_cp_PH.py:Epoch 117/500	Loss 162.8163 ± 36.9908
INFO:pathme_cp_PH.py:Epoch 118/500	Loss 161.1007 ± 37.6981
INFO:pathme_cp_PH.py:Epoch 119/500	Loss 155.0044 ± 27.7679
INFO:pathme_cp_PH.py:Epoch 120/500	Loss 154.6927 ± 32.6899
INFO:pathme_cp_PH.py:Epoch 121/500	Loss 156.3727 ± 29.8435
INFO:pathme_cp_PH.py:Epoch 122/500	Loss 154.0699 ± 30.6898
INFO:pathme_cp_PH.py:Epoch 123/500	Loss 156.9390 ± 36.1081
INFO:pathme_cp_PH.py:Epoch 124/500	Loss 152.9305 ± 34.0687
INFO:pathme_cp_PH.py:Epoch 125/500	Loss 155.5006 ± 33.2389
INFO:pathme_cp_PH.py:Epoch 126/500	Loss 157.4810 ± 35.1269
INFO:pathme_cp_PH.py:Epoch 127/500	Loss 154.5606 ± 32.2105
INFO:pathme_cp_PH.py:Epoch 128/500	Loss 157.5479 ± 34.3929
INFO:pathme_cp_PH.py:Epoch 129/500	Loss 153.4129 ± 36.7985
INFO:pathme_cp_PH.py:Epoch 130/500	Loss 157.7385 ± 37.4282
INFO:pathme_cp_PH.py:Epoch 131/500	Loss 157.2497 ± 31.6972
INFO:pathme_cp_PH.py:Epoch 132/500	Loss 157.3120 ± 32.7183
INFO:pathme_cp_PH.py:Epoch 133/500	Loss 151.5753 ± 31.9609
INFO:pathme_cp_PH.py:Epoch 134/500	Loss 157.2097 ± 32.5005
INFO:pathme_cp_PH.py:Epoch 135/500	Loss 154.0104 ± 29.0493
INFO:pathme_cp_PH.py:Epoch 136/500	Loss 151.8390 ± 27.7046
INFO:pathme_cp_PH.py:Epoch 137/500	Loss 157.9968 ± 33.0858
INFO:pathme_cp_PH.py:Epoch 138/500	Loss 148.1831 ± 29.4870
INFO:pathme_cp_PH.py:Epoch 139/500	Loss 152.0721 ± 38.6824
INFO:pathme_cp_PH.py:Epoch 140/500	Loss 145.8677 ± 29.5812
INFO:pathme_cp_PH.py:Epoch 141/500	Loss 153.1463 ± 32.8216
INFO:pathme_cp_PH.py:Epoch 142/500	Loss 150.4909 ± 29.9177
INFO:pathme_cp_PH.py:Epoch 143/500	Loss 142.2172 ± 33.3369
INFO:pathme_cp_PH.py:Epoch 144/500	Loss 150.9600 ± 32.4859
INFO:pathme_cp_PH.py:Epoch 145/500	Loss 153.1642 ± 32.9034
