SE:C0006145	102	24.38	42.65	5.88	0.171	19.99	49.51	20.1	0.295
SE:C0037199	1295	67.08	16.18	1.81	0.071	34.95	35.06	10.19	0.186
SE:C0085662	91	9.56	45.6	6.59	inf	7.78	50.0	21.98	inf
SE:C0018188	378	57.09	21.56	2.38	0.09	44.17	32.41	9.92	0.185
SE:C0085681	128	23.31	31.64	3.12	inf	20.46	36.72	10.16	inf
SE:C0149516	269	49.15	25.46	4.65	0.119	38.16	36.99	11.34	0.202
SE:C0027651	223	59.8	19.51	2.91	inf	51.61	25.56	6.05	inf
SE:C0235896	846	68.85	15.96	1.83	0.069	46.93	24.82	4.37	0.113
SE:C0033893	125	40.78	30.4	5.6	0.132	33.52	36.4	9.2	0.182
SE:C0017979	289	52.79	26.64	4.5	0.11	42.1	34.43	10.9	0.189
SE:C0007860	91	21.98	45.6	7.14	0.185	15.48	63.74	21.43	0.342
SE:C0152013	73	13.27	26.71	4.11	inf	11.77	27.4	6.85	inf
SE:C0392699	155	38.6	33.87	5.48	inf	32.72	41.29	12.26	inf
SE:C0019151	299	51.25	22.41	3.01	inf	43.12	28.09	4.85	inf
SE:C0009410	77	12.79	33.77	3.9	inf	11.18	35.71	11.04	inf
SE:C0264906	172	30.37	25.29	3.49	inf	26.12	29.94	4.94	inf
SE:C0398353	2132	72.89	11.96	1.27	inf	30.91	36.98	6.87	inf
SE:C0019270	361	55.26	18.14	2.08	0.078	43.1	26.59	4.57	0.123
SE:C0027719	526	67.99	16.44	1.43	0.067	53.05	24.24	3.71	0.105
SE:C0009241	677	59.36	18.32	2.66	0.083	40.28	32.05	7.75	0.159
SE:C0024586	251	42.82	23.11	2.39	inf	37.02	25.7	3.98	inf
SE:C0024523	125	31.34	28.4	2.8	inf	27.18	33.2	8.4	inf
SE:C0020615	1244	80.01	13.5	1.25	0.058	53.37	23.47	3.86	0.106
SE:C0085580	219	53.02	24.66	3.88	inf	43.54	32.42	11.19	inf
SE:C0013274	79	3.97	72.78	15.19	inf	2.87	79.75	29.75	inf
SE:C0085584	776	69.44	15.85	1.93	0.074	48.95	25.97	5.22	0.124
SE:C0013395	1314	75.12	15.22	2.02	0.07	44.38	29.3	6.28	0.14
