  0%|                                   | 0/50 [00:00<?, ?trial/s, best loss=?]INFO:hyperopt.tpe:build_posterior_wrapper took 0.003077 seconds
INFO:hyperopt.tpe:TPE using 0 trials
                                                                               ['--batch-size', '2048', '--data', 'covid', '--embedding-size', '114', '--epochs', '600', '--learning-rate', '0.9011883450558777', '--loss', 'pw_logistic', '--model', 'complex', '--nb-negs', '50', '--quiet', '--reg-weight', '5.2090201030525835e-05', '--valid']
  0%|                                   | 0/50 [00:00<?, ?trial/s, best loss=?]                                                                               MCL
  0%|                                   | 0/50 [00:00<?, ?trial/s, best loss=?]                                                                               False
  0%|                                   | 0/50 [00:00<?, ?trial/s, best loss=?]INFO:bayesian.py:Valid: True
INFO:bayesian.py:Device: cuda
INFO:bayesian.py:NOT MC
INFO:bayesian.py:Device: cuda
INFO:bayesian.py:valid: True
INFO:bayesian.py:Epoch 109/600	Loss 5786.1665 ± 264.9889
INFO:bayesian.py:Epoch 110/600	Loss 5751.2645 ± 280.3335
INFO:bayesian.py:Epoch 111/600	Loss 5733.3386 ± 274.6510
INFO:bayesian.py:Epoch 112/600	Loss 5704.3934 ± 293.2298
INFO:bayesian.py:Epoch 113/600	Loss 5668.7857 ± 285.0377
INFO:bayesian.py:Epoch 114/600	Loss 5673.8486 ± 285.2264
INFO:bayesian.py:Epoch 115/600	Loss 5652.3949 ± 267.6261
INFO:bayesian.py:Epoch 116/600	Loss 5629.2061 ± 277.8743
INFO:bayesian.py:Epoch 117/600	Loss 5595.9274 ± 295.1835
INFO:bayesian.py:Epoch 118/600	Loss 5590.7348 ± 290.1530
INFO:bayesian.py:Epoch 119/600	Loss 5600.5371 ± 273.4226
INFO:bayesian.py:Epoch 120/600	Loss 5576.4567 ± 274.3051
INFO:bayesian.py:Epoch 121/600	Loss 5577.4688 ± 266.7938
INFO:bayesian.py:Epoch 122/600	Loss 5532.5328 ± 280.5943
INFO:bayesian.py:Epoch 123/600	Loss 5558.8591 ± 281.3429
INFO:bayesian.py:Epoch 124/600	Loss 5527.6205 ± 266.2800
INFO:bayesian.py:Epoch 125/600	Loss 5488.3112 ± 283.8017
INFO:bayesian.py:Epoch 126/600	Loss 5480.4491 ± 282.7486
INFO:bayesian.py:Epoch 127/600	Loss 5485.4950 ± 284.7675
INFO:bayesian.py:Epoch 128/600	Loss 5459.4913 ± 278.5716
INFO:bayesian.py:Epoch 129/600	Loss 5452.7852 ± 288.1673
INFO:bayesian.py:Epoch 130/600	Loss 5461.4908 ± 285.3273
INFO:bayesian.py:Epoch 131/600	Loss 5443.0158 ± 286.2829
INFO:bayesian.py:Epoch 132/600	Loss 5431.4542 ± 266.4876
