['--model', 'complex', '--data', 'covid', '--loss', 'pw_logistic', '--epochs', '600', '--learning-rate', '0.278', '--batch-size', '2048', '--reg-weight', '7.01e-08', '--embedding-size', '200', '--nb-negs', '50', '--quiet', '--save_model_name', 'cplex_covid_PW_lr_278_bsize_2048_rw_7010_es_200_nbneg_50_forREL', '--testrel', 'best_cplex_covidPW_rel.csv']
MCL False
INFO:best_cplex_covid_PW.py:Valid: False
INFO:best_cplex_covid_PW.py:Device: cuda
INFO:best_cplex_covid_PW.py:NOT MC
INFO:best_cplex_covid_PW.py:Device: cuda
INFO:best_cplex_covid_PW.py:valid: False
INFO:best_cplex_covid_PW.py:Epoch 135/600	Loss 1156.1270 ± 55.7099
INFO:best_cplex_covid_PW.py:Epoch 136/600	Loss 1152.7408 ± 56.8803
INFO:best_cplex_covid_PW.py:Epoch 137/600	Loss 1159.1389 ± 58.0186
INFO:best_cplex_covid_PW.py:Epoch 138/600	Loss 1155.3258 ± 55.2747
INFO:best_cplex_covid_PW.py:Epoch 139/600	Loss 1155.0667 ± 56.5274
INFO:best_cplex_covid_PW.py:Epoch 140/600	Loss 1153.3510 ± 57.9342
INFO:best_cplex_covid_PW.py:Epoch 141/600	Loss 1156.2530 ± 55.6211
INFO:best_cplex_covid_PW.py:Epoch 142/600	Loss 1154.9112 ± 57.7963
INFO:best_cplex_covid_PW.py:Epoch 143/600	Loss 1147.4210 ± 57.6049
INFO:best_cplex_covid_PW.py:Epoch 144/600	Loss 1156.6430 ± 53.8125
INFO:best_cplex_covid_PW.py:Epoch 145/600	Loss 1146.7071 ± 54.2313
INFO:best_cplex_covid_PW.py:Epoch 146/600	Loss 1145.3379 ± 57.0802
INFO:best_cplex_covid_PW.py:Epoch 147/600	Loss 1145.9215 ± 56.8810
INFO:best_cplex_covid_PW.py:Epoch 148/600	Loss 1141.5794 ± 62.5141
INFO:best_cplex_covid_PW.py:Epoch 149/600	Loss 1145.8231 ± 57.4244
INFO:best_cplex_covid_PW.py:Epoch 150/600	Loss 1144.9788 ± 53.6612
